ORIGINAL_SESSIONS,ORIGINAL_TLV,sessions,tlv,count,a_bike,a_casual,a_dance,a_golf,a_hiking,a_on_the_move,a_onthemove,a_running,a_studio,a_swim,a_tennis,a_trail_running,a_training,a_travel,a_yoga,c_5_year_basic,c_abc,c_align,c_all_yours,c_allyours,c_always_in_motion,c_alwaysinmotion,c_at_ease,c_atease,c_base_pace,c_basepace,c_blissfeel,c_bowline,c_built_to_move,c_chargefeel,c_city_sweat,c_citysweat,c_cityverse,c_commission,c_cool_racerback,c_dance_studio,c_dancestudio,c_define,c_drysense,c_ebb_to_street,c_ebbtostreet,c_energy,c_engineered_warmth,c_enlite,c_everywhere,c_fast&free,c_fast_&_free,c_free_to_be,c_fundamental,c_groove,c_hold_tight,c_hotty_hot,c_hottyhot,c_instill,c_invigorate,c_license_to_train,c_licensetotrain,c_like_a_cloud,c_likeacloud,c_loungeful,c_love,c_lululemon_lab,c_metal_vent_tech,c_metalventtech,c_pace_breaker,c_perfectly_oversized,c_perfectlyoversized,c_power_pivot,c_power_thru,c_ready_to_rulu,c_restfeel,c_scuba,c_sculpt,c_soft_jersey,c_speed_up,c_speedup,c_steady_state,c_strongfeel,c_surge,c_swift_speed,c_swiftly,c_swiftspeed,c_t.h.e.,c_wunder_puff,c_wunder_train,c_wunder_under,c_wundermost,c_wundertrain,c_wunderunder,c_zeroed_in,cat_accessories,cat_all_bras,cat_allbras,cat_bags,cat_bestsellers,cat_bodysuits,cat_bouteilles_d^eau,cat_button_down_shirts,cat_camisoles,cat_can,cat_capris,cat_chaussettes,cat_coats&jackets,cat_coats_&_jackets,cat_commerceroot,cat_dresses,cat_early_access,cat_equipment,cat_femmes,cat_gift_ideas,cat_giftideas,cat_gloves_&_mittens,cat_hair_accessories,cat_hats,cat_hauts,cat_hauts_à_capuchon_et_chandails,cat_hommes,cat_hoodies&sweatshirts,cat_hoodies_&_sweatshirts,cat_joggers,cat_jumpsuits_&_rompers,cat_jupes,cat_lab_shop,cat_leggings,cat_long_sleeve_shirts,cat_loungewear,cat_manches_courtes,cat_manteaux,cat_manteaux_+_vestes,cat_matching_sets,cat_nos_succès,cat_nouveautés,cat_pantalons,cat_pantalons_d^entraînement,cat_pantalons_de_jogging,cat_pants,cat_polo_shirts,cat_sacs,cat_scarves_&_wraps,cat_shirts,cat_shoes,cat_shop_outfits,cat_short_sleeve_shirts,cat_shorts,cat_shortsleeveshirts,cat_skirts,cat_socks,cat_sous-vêtements,cat_soutiens-gorge_sport,cat_special_edition,cat_sports_bras,cat_sweaters,cat_sweatpants,cat_swim_trunks,cat_swimsuits,cat_t-shirts,cat_tank_tops,cat_tanktops,cat_team_canada_,cat_tights,cat_tricots,cat_trousers,cat_underwear,cat_usa,cat_vêtements_de_détente,cat_water_bottles,cat_we_made_too_much,cat_wemadetoomuch,cat_what^s_new,cat_what^snew,cat_women^s_0-14,cat_yoga_mats,cat_yogaaccessories,clr_black,clr_black_&_white,clr_black_&_white_,clr_blanc,clr_blue,clr_brown,clr_burgundy,clr_camo,clr_gold,clr_green,clr_grey,clr_khaki,clr_metallic,clr_navy,clr_neon,clr_neutral,clr_noir,clr_olive,clr_orange,clr_pastel,clr_pink,clr_printed,clr_purple,clr_red,clr_rose,clr_striped,clr_tie_dye,clr_white,clr_yellow,g_all,g_men,g_women,gift_all
3853,2474,0.96493,0.005628,0.375,0,0,0,0,0.296875,0.185649,0,0.198598,0,0.25,0.047619,0,0.190265,0,0.224105,0,0,0.364975,0,0,0,0,0,0,0.016667,0,0,0,0,0,0,0,0,0.008475,0.833333,0.039474,0,0.015924,0,0.090909,0,0,0,0,0.304636,0,0.007273,0,0,0,0,0.081081,0,0.095238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.033126,0,0,0,0,0,0,0,0,0.237458,0,0,0.007143,0.071429,0,0,0,0,0,0.102679,0,0,0.369231,0.064,0,0,0,0,0,0.017241,0,0,0.016713,0,0.22,0,0,0,0,0,0,0.217391,0,0,0,0,0,0.045714,0,0,0,0,0.05,0.04,0,0,0,0,0,0,0,0,0,0,0.172185,0,0,0,0.353234,0,0,0,0.010526,0,0,0.3,0,0,0,0,0,0,0,0.611111,0,0,0,0,0,0,0,0,0,0,0,0.137595,0,0.196429,0,0,0,0,0.320197,0,0,0,0.045045,0,0,0,0,0.312139,0.052632,0,0,0,0.321678,0.017391,0,0,0,0,0.104762,0.079365,0,0,0,0,0,0.407643,0,0.138169,0,0.347614,0
3689,14748,0.923848,0.023883,0.501701,0,0,0,0,0,0.405467,0,0.095794,0,0,0,0,0.495575,0,0.148776,0,0.006536,0.178396,0.038462,0,0,0,0,0,0,0,0,0,0,0.025641,0,0,0,0.025424,0,0.085526,0,0.009554,0,0,0,0.27551,0,0,0.119205,0,0.007273,0.789474,0,0,0,0,0,0,0,0.007576,0,0.036145,0,0,0.973684,0,0,0,0,1,0,0,0,0,0.259259,0.082816,0,0,0.103448,0,0,0.041667,0,0,0.160535,0,0,0,0.758929,0,0.075472,0,0,0,0.017857,0.102941,0,0.153846,0.228,0.058824,0,0,0,0,0,0,0,0.128134,0,0,0,0,0,0,0,0,0.043478,0.315789,0,0,0,0,0.582857,0.163462,0,0,0,0.525,0.1,0.257143,0,0,0,0.064,0,0,0,0,0,0,0,0,0,0.059701,0.038462,0.034483,0,0.221053,0,0,0.16,0,0,0,0.166667,0,0,0,0,0.090909,1,0,0,0,0,0.347826,0.194444,0,0,0,0.056338,0,0.171875,0,0,0,0,0.149425,0,0,0,0.036036,0.194444,0,0,0,0.254335,0.090226,0.009346,0,0,0.020979,0.130435,0,0,0.153846,0,0.209524,0.063492,0.378788,0,0,0,0,0.025478,0,0.082902,0.017903,0.521908,0
1,1567,0,0.004279,0.00085,0,0,0,0,0,0,0,0.004673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006689,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001947,0
258,239,0.064379,0.002304,0.011905,0,0,0,0,0,0.014806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007874,0,0,0,0,0,0,0,0,0,0,0.050847,0,0,0,0,0,0,0,0,0.012346,0,0,0,0,0,0.045455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.058824,0,0,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009009,0.023148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006369,0,0,0.038363,0,0
263,448,0.065631,0.002615,0.10034,0,0,0,0,0,0.091116,0,0.011682,0,0,0,0,0.066372,0,0.035782,0,0,0.070376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10596,0,0,0,0,0,0,0,0,0,0,0,0,0.204819,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.084746,0,0,0,0,0.107143,0.117647,0,0,0,0,0.236607,0.044118,0,0,0.028,0,0,0,0,0,0.017241,0,0,0,0,0,0,0,0,0,0,0,0,0.105263,0,0,0,0,0,0,0,0,0,0.108333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010526,0,0,0,0,0,0,0.115385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.028169,0,0.006696,0,0,0,0,0.037767,0.555556,0,0,0.063063,0.013889,0,0,0,0,0.030075,0,0,0,0,0,0,0,0,0,0,0,0.022727,0,0,0,0,0,0,0.098446,0.01023,0.056475,0
1,610,0,0.002856,0.00085,0,0,0,0,0,0,0,0.004673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.033333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001947,0
1371,0,0.343186,0.001948,0.02381,0,0,0,0,0,0.031891,0,0,0,0,0.02381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.092715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.035714,0,0,0.261538,0.004,0,0,0,0,0,0,0,0,0.002786,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.018062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02418,0,0.012658,0
3100,2944,0.776303,0.006327,0.039966,0,0,0,0,0,0.041002,0,0.011682,0,0,0,0,0,0,0.013183,0,0,0.018003,0,0,0,0,0,0,0,0,0,0,0,0.025641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.019868,0,0,0,0,0,0,0.006757,0,0,0,0.022727,0,0,0,0.012987,0,0.085714,0,0,0,0,0,0,0,0,0,0.035197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008929,0,0,0.123077,0.032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.029412,0,0,0,0.105263,0,0,0,0,0,0,0,0,0,0,0,0.171429,0,0,0,0.016,0,0,0,0,0,0.039735,0,0,0,0,0.019231,0,0,0.042105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005417,0,0.002232,0,0,0,0,0.024631,0,0,0,0.003003,0.013889,0,0,0,0.023121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.019108,0,0.027634,0.007673,0.028238,0
3092,0,0.774299,0.001948,0.252551,0,0,0,0,0.0625,0.192483,0,0.074766,0,0,0,0,0.168142,0,0.096045,0,0,0.111293,0.007692,0,0,0,0,0,0.066667,0,0.09009,0.5,0,0,0,0,0,0,0,0,0,0.003185,0,0,0,0,0,0,0.264901,0,0.08,0.473684,0,0.009346,0,0,0,0,0,0.015152,0,0,0,0,0,0,0,0,0.090909,0,0,0.516129,0.217391,0.090909,0,0.006211,0,0,0,0,0,0.166667,0,0,0,0,0.085714,0.046429,0.026786,0.117647,0.056604,0,0,0,0.330357,0.014706,0,0.6,0.008,0,0,0,0,0,0,0,0,0.013928,0,0,0,0,0,0.176471,0,0,0,0.368421,0,0,0,0,0.005714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014925,0.076923,0.017241,0,0,0,0,0,0,0,0,0.230769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0.135428,0,0.006696,0,0,0,0,0.070608,0,0,0,0.03003,0.106481,0,0,0.04,0.046243,0.007519,0,0,0,0,0.052174,0,0,0,0,0,0,0,0,0,0,0,0.063694,0,0.160622,0.084399,0.163583,0
130,5159,0.032315,0.009621,0.004252,0,0,0,0,0,0,0,0.007009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.058824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00325,0,0,0,0,0,0,0,0,0,0,0.003003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.052632,0,0,0,0,0,0.001727,0.007673,0,0
